fecha;abba_cocina_unidades;abba_cocina_ventas;acros_lavadoras_unidades;acros_lavadoras_ventas;challenger_cocina_unidades;challenger_cocina_ventas;challenger_lavadoras_unidades;challenger_lavadoras_ventas;challenger_neveras_unidades;challenger_neveras_ventas;electrolux_lavadoras_unidades;electrolux_lavadoras_ventas;electrolux_neveras_unidades;electrolux_neveras_ventas;ge profile_neveras_unidades;ge profile_neveras_ventas;haceb_cocina_unidades;haceb_cocina_ventas;haceb_lavadoras_unidades;haceb_lavadoras_ventas;haceb_neveras_unidades;haceb_neveras_ventas;hisense_neveras_unidades;hisense_neveras_ventas;indurama_cocina_unidades;indurama_cocina_ventas;kitchenaid_cocina_unidades;kitchenaid_cocina_ventas;lg_lavadoras_unidades;lg_lavadoras_ventas;lg_neveras_unidades;lg_neveras_ventas;mabe_cocina_unidades;mabe_cocina_ventas;mabe_lavadoras_unidades;mabe_lavadoras_ventas;mabe_neveras_unidades;mabe_neveras_ventas;samsung_lavadoras_unidades;samsung_lavadoras_ventas;samsung_neveras_unidades;samsung_neveras_ventas;superior_cocina_unidades;superior_cocina_ventas;whirlpool_cocina_unidades;whirlpool_cocina_ventas;whirlpool_lavadoras_unidades;whirlpool_lavadoras_ventas;whirlpool_neveras_unidades;whirlpool_neveras_ventas;total_cocina_unidades;total_cocina_ventas;total_neveras_unidades;total_neveras_ventas;total_lavadoras_unidades;total_lavadoras_ventas;centrales_marca_compradas;challenger_marca_compradas;electrolux_marca_compradas;haceb_marca_compradas;icasa_marca_compradas;kalley_marca_compradas;lg_marca_compradas;mabe_marca_compradas;no recuerda_marca_compradas;samsung_marca_compradas;whirlpool_marca_compradas;centrales_marca_proximas_comprar;challenger_marca_proximas_comprar;electrolux_marca_proximas_comprar;haceb_marca_proximas_comprar;icasa_marca_proximas_comprar;kalley_marca_proximas_comprar;lg_marca_proximas_comprar;mabe_marca_proximas_comprar;samsung_marca_proximas_comprar;whirlpool_marca_proximas_comprar;centrales_marca_top_of_heart;challenger_marca_top_of_heart;electrolux_marca_top_of_heart;haceb_marca_top_of_heart;icasa_marca_top_of_heart;kalley_marca_top_of_heart;lg_marca_top_of_heart;mabe_marca_top_of_heart;samsung_marca_top_of_heart;whirlpool_marca_top_of_heart;centrales_recordacion_top_of_mind;challenger_recordacion_top_of_mind;electrolux_recordacion_top_of_mind;haceb_recordacion_top_of_mind;icasa_recordacion_top_of_mind;kalley_recordacion_top_of_mind;lg_recordacion_top_of_mind;mabe_recordacion_top_of_mind;no recuerda_recordacion_top_of_mind;samsung_recordacion_top_of_mind;whirlpool_recordacion_top_of_mind;promotores_btl;48_horas_de_dscto;aniversario_salas;calendario_eventos2_black_days;dcto_linea_premium;descuento_calentadores;descuento_conservacion_de_alimentos;descuento_conservacion_de_alimentos_y_cuidado_del_hogar;descuento_cuidado_del_hogar;especial_calentadores_y_aires;especial_empotre;especial_empotre_y_lavado;especial_empotre_y_refrigeracion;especial_empotre_y_calentadores;especial_refrigeracion_y_menores;especial_de_lavado;feria_de_saldos_y_np;hot_sales;calendario_eventos2_madrugon;marco_promocional_habitual;calendario_eventos2_mega_outlet;por_ser_hogar_haceb;super_martes;calendario_eventos2_super_sale;calendario_eventos2_super_sabado;tecnamorate;aniversario_exito;mega_prima;ddpe;calendario_eventos_black_friday;renueva_tu_hogar;abril_es_una_ganga;agosto_alkosto;aniversario_1;aniversario_2;aniversario_easy;bajo_cero;aniversario_olimpica;evento_patrocinado_bajo_cero;temporada_de_casa;precios_campeones;cumpleanos_homecenter;aniverasrio;electrodomesticos_a_la_fija;easy_cumpleanos;dias_del_ahorro_easy;bajo_cero_olimpiadas;folleto_climatizacion_aires;48_horas_de_descuento;campana_re_hacer;calendario_promos_super_sale;calendario_promos_super_sabado;hot_sale;aniversario_haceb;activacion_experiencia_6_pdv_nacional;feria_de_saldos;super_tuesday;mega_outlet_diciembre;entrega_de_aguas_pepe_sierra;promotoria_moderno;promotoria_especial;promotoria_directo;nps;ins;ces;ventas_call_center;sesiones
23/08/23;129,4778968;109086631,2;45,15236206;62917072,89;81,70169931;73408397,73;168,9517709;207320269,4;426,7271526;589465243,8;58,26521943;87742944,7;48,64627571;99095560,94;1,794117467;11037195,27;433,944799;389361533;605,3813874;882816834,6;855,266341;1588920058;12,49209227;22599417,47;10,08204055;17427791,05;0,435098253;6114663,995;444,0097412;1192452039;120,0976898;600331077,9;60,76461465;82546565,53;196,9628884;331247296,3;750,8412649;1473818644;649,3819997;1593510591;227,3534589;882111704,8;6,401027074;5587442,901;3,929094256;11356788,12;181,7830107;405200585,3;98,91509576;258254750,1;732,6254767;706521130,8;2558,725832;5563358475;2442,343271;4842789912;0,018708065;0,029987097;0,012477419;0,050874194;0,011119355;0,028995161;0,120116129;0,034030645;0;0,10818871;0,041306452;0,062537097;0,108379032;0,054035484;0,180204839;0,03298871;0,079404839;0,271616129;0,099533871;0,319953226;0,132167742;0,02035;0,06108871;0,027654839;0,115301613;0,008124194;0,050701613;0,172525806;0,04508871;0,235775806;0,068545161;0,029533871;0,037987097;0,006498387;0,123130645;0,01885;0,063043548;0,262967742;0,121622581;0,0399;0,19316129;0,034703226;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;34;0,57;0,31;11;8698
24/08/23;161,847371;136358288,9;56,44045257;78646341,11;102,1271241;91760497,17;211,1897136;259150336,7;533,4089407;736831554,8;72,83152429;109678680,9;60,80784464;123869451,2;2,242646834;13796494,09;542,4309988;486701916,2;756,7267342;1103521043;1069,082926;1986150072;15,61511533;28249271,83;12,60255069;21784738,81;0,543872817;7643329,994;555,0121765;1490565049;150,1221123;750413847,4;75,95576831;103183206,9;246,2036105;414059120,3;938,5515811;1842273306;811,7274997;1991888238;284,1918236;1102639631;8,001283843;6984303,626;4,91136782;14195985,15;227,2287634;506500731,7;123,6438697;322818437,6;915,7818459;883151413,4;3198,407291;6954198094;3052,929089;6053487390;0,018490323;0,029735484;0,012487097;0,050770968;0,011296774;0,028825806;0,119780645;0,034003226;0;0,107693548;0,041332258;0,062535484;0,108245161;0,054477419;0,180674194;0,033193548;0,079574194;0,271480645;0,099419355;0,319516129;0,13253871;0,0204;0,060593548;0,027874194;0,115158065;0,008170968;0,051358065;0,172229032;0,045493548;0,235129032;0,069025806;0,029419355;0,037535484;0,006541935;0,123303226;0,0187;0,063067742;0,26323871;0,121012903;0,0401;0,193406452;0,034616129;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;32;0,65;0,1;5;7974
25/08/23;161,847371;136358288,9;56,44045257;78646341,11;102,1271241;91760497,17;211,1897136;259150336,7;533,4089407;736831554,8;72,83152429;109678680,9;60,80784464;123869451,2;2,242646834;13796494,09;542,4309988;486701916,2;756,7267342;1103521043;1069,082926;1986150072;15,61511533;28249271,83;12,60255069;21784738,81;0,543872817;7643329,994;555,0121765;1490565049;150,1221123;750413847,4;75,95576831;103183206,9;246,2036105;414059120,3;938,5515811;1842273306;811,7274997;1991888238;284,1918236;1102639631;8,001283843;6984303,626;4,91136782;14195985,15;227,2287634;506500731,7;123,6438697;322818437,6;915,7818459;883151413,4;3198,407291;6954198094;3052,929089;6053487390;0,018272581;0,029483871;0,012496774;0,050667742;0,011474194;0,028656452;0,119445161;0,033975806;0;0,107198387;0,041358065;0,062533871;0,10811129;0,054919355;0,181143548;0,033398387;0,079743548;0,271345161;0,099304839;0,319079032;0,132909677;0,02045;0,060098387;0,028093548;0,115014516;0,008217742;0,052014516;0,171932258;0,045898387;0,234482258;0,069506452;0,029304839;0,037083871;0,006585484;0,123475806;0,01855;0,063091935;0,263509677;0,120403226;0,0403;0,193651613;0,034529032;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;7;0,63;0,44;-2;7141
26/08/23;121,3855283;102268716,7;42,33033943;58984755,83;76,5953431;68820372,88;158,3922852;194362752,6;400,0567055;552623666,1;54,62364322;82259010,66;45,60588348;92902088,38;1,681985126;10347370,57;406,8232491;365026437,2;567,5450507;827640782,5;801,8121947;1489612554;11,7113365;21186953,87;9,451913015;16338554,11;0,407904612;5732497,496;416,2591324;1117923787;112,5915842;562810385,6;56,96682624;77387405,19;184,6527079;310544340,2;703,9136858;1381704979;608,7956248;1493916179;213,1438677;826979723,2;6,000962882;5238227,719;3,683525865;10646988,86;170,4215725;379875548,7;92,73290228;242113828,2;686,8363844;662363560,1;2398,805468;5215648571;2289,696817;4540115543;0,018054839;0,029232258;0,012506452;0,050564516;0,011651613;0,028487097;0,119109677;0,033948387;0;0,106703226;0,041383871;0,062532258;0,107977419;0,05536129;0,181612903;0,033603226;0,079912903;0,271209677;0,099190323;0,318641935;0,133280645;0,0205;0,059603226;0,028312903;0,114870968;0,008264516;0,052670968;0,171635484;0,046303226;0,233835484;0,069987097;0,029190323;0,036632258;0,006629032;0,123648387;0,0184;0,063116129;0,263780645;0,119793548;0,0405;0,193896774;0,034441935;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;56;0,7;0,13;3;6265
27/08/23;60,69276414;51134358,36;21,16516971;29492377,92;38,29767155;34410186,44;79,19614259;97181376,28;200,0283528;276311833;27,31182161;41129505,33;22,80294174;46451044,19;0,840992563;5173685,284;203,4116246;182513218,6;283,7725253;413820391,2;400,9060973;744806277,2;5,85566825;10593476,94;4,725956507;8169277,054;0,203952306;2866248,748;208,1295662;558961893,3;56,29579212;281405192,8;28,48341312;38693702,59;92,32635393;155272170,1;351,9568429;690852489,6;304,3978124;746958089,3;106,5719338;413489861,6;3,000481441;2619113,86;1,841762932;5323494,429;85,21078626;189937774,4;46,36645114;121056914,1;343,4181922;331181780;1199,402734;2607824285;1144,848408;2270057771;0,017837097;0,028980645;0,012516129;0,05046129;0,011829032;0,028317742;0,118774194;0,033920968;0;0,106208065;0,041409677;0,062530645;0,107843548;0,055803226;0,182082258;0,033808065;0,080082258;0,271074194;0,099075806;0,318204839;0,133651613;0,02055;0,059108065;0,028532258;0,114727419;0,00831129;0,053327419;0,17133871;0,046708065;0,23318871;0,070467742;0,029075806;0,036180645;0,006672581;0,123820968;0,01825;0,063140323;0,264051613;0,119183871;0,0407;0,194141935;0,034354839;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;39;0,55;0,15;0;5467
28/08/23;97,10842263;81814973,37;33,86427154;47187804,67;61,27627448;55056298,3;126,7138282;155490202;320,0453644;442098932,9;43,69891458;65807208,53;36,48470679;74321670,7;1,3455881;8277896,455;325,4585993;292021149,7;454,0360405;662112626;641,4497557;1191690043;9,3690692;16949563,1;7,561530412;13070843,29;0,32632369;4585997,997;333,0073059;894339029,4;90,07326739;450248308,4;45,57346099;61909924,15;147,7221663;248435472,2;563,1309487;1105363983;487,0364998;1195132943;170,5150941;661583778,6;4,800770306;4190582,176;2,946820692;8517591,087;136,337258;303900439;74,18632182;193691062,5;549,4691075;529890848,1;1919,044374;4172518857;1831,757453;3632092434;0,017619355;0,028729032;0,012525806;0,050358065;0,012006452;0,028148387;0,11843871;0,033893548;0;0,105712903;0,041435484;0,062529032;0,107709677;0,056245161;0,182551613;0,034012903;0,080251613;0,27093871;0,09896129;0,317767742;0,134022581;0,0206;0,058612903;0,028751613;0,114583871;0,008358065;0,053983871;0,171041935;0,047112903;0,232541935;0,070948387;0,02896129;0,035729032;0,006716129;0,123993548;0,0181;0,063164516;0,264322581;0,118574194;0,0409;0,194387097;0,034267742;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;68;0,82;0,16;3;8276
29/08/23;97,10842263;81814973,37;33,86427154;47187804,67;61,27627448;55056298,3;126,7138282;155490202;320,0453644;442098932,9;43,69891458;65807208,53;36,48470679;74321670,7;1,3455881;8277896,455;325,4585993;292021149,7;454,0360405;662112626;641,4497557;1191690043;9,3690692;16949563,1;7,561530412;13070843,29;0,32632369;4585997,997;333,0073059;894339029,4;90,07326739;450248308,4;45,57346099;61909924,15;147,7221663;248435472,2;563,1309487;1105363983;487,0364998;1195132943;170,5150941;661583778,6;4,800770306;4190582,176;2,946820692;8517591,087;136,337258;303900439;74,18632182;193691062,5;549,4691075;529890848,1;1919,044374;4172518857;1831,757453;3632092434;0,017401613;0,028477419;0,012535484;0,050254839;0,012183871;0,027979032;0,118103226;0,033866129;0;0,105217742;0,04146129;0,062527419;0,107575806;0,056687097;0,183020968;0,034217742;0,080420968;0,270803226;0,098846774;0,317330645;0,134393548;0,02065;0,058117742;0,028970968;0,114440323;0,008404839;0,054640323;0,170745161;0,047517742;0,231895161;0,071429032;0,028846774;0,035277419;0,006759677;0,124166129;0,01795;0,06318871;0,264593548;0,117964516;0,0411;0,194632258;0,034180645;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;64;0,71;0,11;8;8353
30/08/23;129,4778968;109086631,2;45,15236206;62917072,89;81,70169931;73408397,73;168,9517709;207320269,4;426,7271526;589465243,8;58,26521943;87742944,7;48,64627571;99095560,94;1,794117467;11037195,27;433,944799;389361533;605,3813874;882816834,6;855,266341;1588920058;12,49209227;22599417,47;10,08204055;17427791,05;0,435098253;6114663,995;444,0097412;1192452039;120,0976898;600331077,9;60,76461465;82546565,53;196,9628884;331247296,3;750,8412649;1473818644;649,3819997;1593510591;227,3534589;882111704,8;6,401027074;5587442,901;3,929094256;11356788,12;181,7830107;405200585,3;98,91509576;258254750,1;732,6254767;706521130,8;2558,725832;5563358475;2442,343271;4842789912;0,017183871;0,028225806;0,012545161;0,050151613;0,01236129;0,027809677;0,117767742;0,03383871;0;0,104722581;0,041487097;0,062525806;0,107441935;0,057129032;0,183490323;0,034422581;0,080590323;0,270667742;0,098732258;0,316893548;0,134764516;0,0207;0,057622581;0,029190323;0,114296774;0,008451613;0,055296774;0,170448387;0,047922581;0,231248387;0,071909677;0,028732258;0,034825806;0,006803226;0,12433871;0,0178;0,063212903;0,264864516;0,117354839;0,0413;0,194877419;0,034093548;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;63;0,77;0,1;10;8085
31/08/23;161,847371;136358288,9;56,44045257;78646341,11;102,1271241;91760497,17;211,1897136;259150336,7;533,4089407;736831554,8;72,83152429;109678680,9;60,80784464;123869451,2;2,242646834;13796494,09;542,4309988;486701916,2;756,7267342;1103521043;1069,082926;1986150072;15,61511533;28249271,83;12,60255069;21784738,81;0,543872817;7643329,994;555,0121765;1490565049;150,1221123;750413847,4;75,95576831;103183206,9;246,2036105;414059120,3;938,5515811;1842273306;811,7274997;1991888238;284,1918236;1102639631;8,001283843;6984303,626;4,91136782;14195985,15;227,2287634;506500731,7;123,6438697;322818437,6;915,7818459;883151413,4;3198,407291;6954198094;3052,929089;6053487390;0,016966129;0,027974194;0,012554839;0,050048387;0,01253871;0,027640323;0,117432258;0,03381129;0;0,104227419;0,041512903;0,062524194;0,107308065;0,057570968;0,183959677;0,034627419;0,080759677;0,270532258;0,098617742;0,316456452;0,135135484;0,02075;0,057127419;0,029409677;0,114153226;0,008498387;0,055953226;0,170151613;0,048327419;0,230601613;0,072390323;0,028617742;0,034374194;0,006846774;0,12451129;0,01765;0,063237097;0,265135484;0,116745161;0,0415;0,195122581;0,034006452;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;85;17;58;0,72;0,13;10;8396
1/09/23;144,2716511;121328690,8;36,80568669;52655315,76;85,16857883;78221254,37;255,3544814;271539944,4;431,8197648;582070142;72,13267847;103440672,6;77,56547679;135794973,8;2,02631161;12277277,78;494,2361222;418712442,5;606,7870769;933207414,3;1037,072212;1922132969;19,99623992;35237287,52;12,13334624;21049769,51;1,078651685;14930510,21;560,4719393;1399668784;147,3243047;700253323,6;69,77330112;93306701,12;223,4575957;326840565,1;899,4738703;1732465332;697,69685;1604565551;330,5631232;1221800167;4,886575281;4250954,426;6,352530691;22586193,62;220,9063104;484503542,4;120,5212778;303389475,3;823,4226331;789704733,8;3090,826487;6707904007;2829,530816;5309026443;0,016748387;0,027722581;0,012564516;0,049945161;0,012716129;0,027470968;0,117096774;0,033783871;0;0,103732258;0,04153871;0,062522581;0,107174194;0,058012903;0,184429032;0,034832258;0,080929032;0,270396774;0,098503226;0,316019355;0,135506452;0,0208;0,056632258;0,029629032;0,114009677;0,008545161;0,056609677;0,169854839;0,048732258;0,229954839;0,072870968;0,028503226;0,033922581;0,006890323;0,124683871;0,0175;0,06326129;0,265406452;0,116135484;0,0417;0,195367742;0,033919355;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;79;16;48;0,65;0,13;2;6771
