fecha;axn_impression;canal_1_impression;canal_caracol_impression;canal_rcn_impression;cinecanal_impression;citytv_impression;discovery_channel_impression;discovery_home_&_health_impression;espn_impression;food_network_impression;space_impression;star_channel_impression;tnt_impression;tnt_series_impression;teleantioquia_impression;telecafe_impression;telecaribe_impression;telepacifico_impression;warner_impression;axn_spend;canal_1_spend;canal_caracol_spend;canal_rcn_spend;cinecanal_spend;citytv_spend;discovery_channel_spend;discovery_home_&_health_spend;espn_spend;food_network_spend;space_spend;star_channel_spend;tnt_spend;tnt_series_spend;teleantioquia_spend;telecafe_spend;telecaribe_spend;telepacifico_spend;warner_spend;bing_impression;bing_spend;dv360_impression;dv360_spend;facebook_brand_impression;facebook_brand_spend;facebook_credito_impression;facebook_credito_spend;facebook_ecommerce_impression;facebook_ecommerce_spend;facebook_empresarios_impression;facebook_empresarios_spend;facebook_hogar_impression;facebook_hogar_spend;facebook_servicio_impression;facebook_servicio_spend;google_brand_impression;google_brand_spend;google_ecommerce_impression;google_ecommerce_spend;google_servicio_impression;google_servicio_spend;tiktok_impression;tiktok_spend;rrssfacebook_impression;rrssinstagram_impression;rrsstiktok_impression;rrssyoutube_impression;rrssfacebook_spend;rrssinstagram_spend;rrsstiktok_spend;rrssyoutube_spend;cantidad_cocinas;cantidad_lavadoras;cantidad_neveras;conversions;valor_cocinas;valor_lavadoras;valor_neveras;valor_total;revenue_per_conversion
24/08/23;0;0;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5161200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88625;240344;0;0;19606;94118;0;0;0;0;166723;268849;116779;313769,62;125170;1420823,21;11265;1133086,86;88724;99758,28;0;0;0;2259;0;0;0;0;540;292;501;1333;257946864,1;386351454,2;799670333;1443968651;1083247,3
25/08/23;0;0;0;0;0;0;0;0;0;0;0;0;44160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3519850;0;0;0;0;0;0;0;0;0;0;36141;176148;0;0;16625;95846;0;0;0;0;152312;238942;97568;310784,75;88539;1201481,58;11486;1289560,96;93773;98677,89;26601;2689;922;2277;0;0;0;0;559;301;511;1371;284943643,2;393981329,6;836492264,8;1515417238;1105337,154
26/08/23;0;0;0;0;0;0;0;3510;0;0;0;0;89700;0;0;0;0;0;0;0;0;0;0;0;0;0;5272550;0;0;0;0;3398300;0;0;0;0;0;0;0;0;0;0;4762;161189;0;0;19469;86360;0;0;0;0;141858;182453;98179;308552,48;90913;1082863,25;9648;1132192,79;107291;99672,07;0;0;0;2557;0;0;0;0;849;516;892;2257;449386562,8;695461883,8;1408491270;2553339717;1131298,058
27/08/23;0;0;0;0;0;0;0;2160;0;145;0;0;75900;0;0;0;0;0;0;0;0;0;0;0;0;0;3620150;0;3528350;0;0;3519850;0;0;0;0;0;0;0;0;0;0;13692;197515;0;0;22446;101822;0;0;0;0;151821;120034;104964;298183,85;78589;1059725,24;11528;934528,9;110318;99253,4;0;0;0;2130;0;0;0;0;594;323;524;1441;277246278,7;428069265,1;813326836,2;1518642380;1053880,902
28/08/23;0;0;0;0;0;0;0;0;0;435;0;0;77970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1643900;0;0;4126750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26875;120521;0;0;0;0;246147;505184;12203;40535,28;90813;1254123,2;8210;1225417,51;200271;199708,28;0;5133;10948;1966;0;0;0;0;662;409;661;1732;330057179,8;523851765,1;1062897274;1916806219;1106701,05
29/08/23;0;366625;6880950;4912050;0;0;0;1350;0;1885;0;0;15180;0;0;0;0;0;0;0;13270200;33750950;14347150;0;0;0;3508800;0;2193000;0;0;2427600;0;0;0;0;0;0;0;0;0;0;131134;90243;0;0;25123;125725;0;0;0;0;301475;505864;271559;908983,66;91290;1130268,29;10997;1262589,74;55632;50000;11354;0;0;90743;0;0;0;0;711;354;586;1651;371130376,7;455186592;963590657,2;1789907626;1084135,449
30/08/23;0;110250;26527500;2484625;0;0;0;4995;0;0;10325;0;16560;15487,5;40800;6150;10200;5775;0;0;6635100;70380850;8584150;0;0;0;5161200;0;1920150;5896450;0;1504500;4239800;2274600;633250;812600;377400;0;0;0;0;0;666760;465920;0;0;24453;124062;0;0;0;0;305754;444984;329450;1042459,02;86662;1266106,18;12258;1176679,42;592773;650000;15002;7559;0;93330;0;0;0;0;634;519;641;1794;327416879,5;591269835,2;1011034914;1929721628;1075653,081
31/08/23;11092,5;180250;13624200;3256825;0;0;0;945;0;290;5900;0;19320;10767,5;45000;2025;13000;2025;0;4760850;6635100;24816600;8584150;0;0;0;4344350;0;2193000;6716700;0;2791400;4030700;2274600;633250;812600;377400;0;0;0;2194958;1589229,53;796152;535489;0;0;23921;132616;0;0;0;0;295689;400367;384788;1040893,85;101381;1429308,48;8305;809836,37;641362;653723;0;0;1615;64272;0;0;0;0;825;485;1150;2460;426714556,6;667038127,4;1822868700;2916621384;1185618,449
1/09/23;11382,5;0;6471900;1036750;0;0;0;0;0;0;12685;0;4830;9440;0;0;0;0;0;3589550;0;10307950;1869150;0;0;0;0;0;0;5422150;0;1092250;3507100;0;0;0;0;0;0;0;523262;153947,54;617445;334709;0;0;34440;122642;0;0;0;0;217441;220664;279058;593981,46;76778;1129153,17;7565;839820,75;283961;225000;0;7413;0;48955;0;0;0;0;1928;532;2234;4694;907135969,3;696568442,2;3370474412;4974178824;1059688,714
2/09/23;0;0;0;0;0;0;0;1755;0;145;0;0;12420;0;0;0;0;0;0;0;0;0;0;0;0;0;2580600;0;821950;0;0;3519850;0;0;0;0;0;0;0;0;540467;149220,9;376960;202871;0;0;33247;122304;0;0;0;0;161778;105327;318061;632936,74;90989;1214682,7;7805;844747,57;216762;225000;12071;0;0;75312;0;0;0;0;1191;605;956;2752;564318263,6;788163181,3;1494619405;2847100850;1034556,995
4/09/23;9715;0;19893600;4915625;0;0;0;0;0;0;0;0;0;6195;34000;1650;0;2100;0;3589550;0;45283750;14184800;0;0;0;0;0;0;0;0;0;1936300;2274600;303450;0;377400;0;0;0;324030;333642,84;479174;276518;0;0;47875;164341;0;0;0;0;214513;248105;301162;621470,76;88319;1448868,58;7296;1204007,01;211562;225000;0;0;3265;47843;0;0;0;0;652;307;530;1489;305011365,8;414787431,8;834583953,9;1554382752;1043910,512
