fecha;total_cocina_ventas;total_neveras_ventas;total_lavadoras_ventas;competitors_sales;haceb_marca_compradas;ventas_call_center;sesiones;haceb_marca_proximas_comprar;haceb_marca_top_of_heart;haceb_recordacion_top_of_mind;promotores_btl;promotoria_moderno;promotoria_especial;promotoria_directo;nps;ins;ces;aniversario_salas;calendario_eventos2_black_days;especial_empotre;hot_sales;calendario_eventos2_super_sale;aniversario_exito;mega_prima;ddpe;calendario_eventos_black_friday;renueva_tu_hogar;abril_es_una_ganga;agosto_alkosto;aniversario_1;aniversario_2;aniversario_easy;bajo_cero;aniversario_olimpica;evento_patrocinado_bajo_cero;temporada_de_casa;precios_campeones;cumpleanos_homecenter;aniverasrio;electrodomesticos_a_la_fija;bajo_cero_olimpiadas;folleto_climatizacion_aires;campana_re_hacer;aniversario_haceb;descuento_cocinas;descuento_lavadoras;descuento_neveras;descuento_total; gqv 
24/08/23; 381.910.351 ; 4.920.891.993 ; 4.850.488.498 ; 10.153.290.842 ;0,050770968;5;7974;0,180674194;0,115158065;0,123303226;45;237;85;17;32;0,65;0,1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5,9%;15,9%;9,9%;9,9%; 60 
25/08/23; 381.910.351 ; 4.920.891.993 ; 4.850.488.498 ; 10.153.290.842 ;0,050667742;-2;7141;0,181143548;0,115014516;0,123475806;45;237;85;17;7;0,63;0,44;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5,3%;14,7%;9,3%;9,3%; 64 
26/08/23; 286.432.763 ; 3.690.668.995 ; 3.637.866.373 ; 7.614.968.131 ;0,050564516;3;6265;0,181612903;0,114870968;0,123648387;22;237;85;17;56;0,7;0,13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;6,2%;15,8%;11,3%;11,0%; 74 
27/08/23; 143.216.381 ; 1.845.334.498 ; 1.818.933.187 ; 3.807.484.066 ;0,05046129;0;5467;0,182082258;0,114727419;0,123820968;22;237;85;17;39;0,55;0,15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5,6%;14,6%;11,9%;10,5%; 68 
28/08/23; 229.146.210 ; 2.952.535.196 ; 2.910.293.099 ; 6.091.974.505 ;0,050358065;3;8276;0,182551613;0,114583871;0,123993548;45;237;85;17;68;0,82;0,16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4,9%;15,7%;9,6%;9,7%; 57 
29/08/23; 229.146.210 ; 2.952.535.196 ; 2.910.293.099 ; 6.091.974.505 ;0,050254839;8;8353;0,183020968;0,114440323;0,124166129;45;237;85;17;64;0,71;0,11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4,5%;15,3%;9,4%;9,4%; 68 
30/08/23; 305.528.280 ; 3.936.713.595 ; 3.880.390.798 ; 8.122.632.673 ;0,050151613;10;8085;0,183490323;0,114296774;0,12433871;45;237;85;17;63;0,77;0,1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5,6%;15,8%;10,9%;10,5%; 60 
31/08/23; 381.910.351 ; 4.920.891.993 ; 4.850.488.498 ; 10.153.290.842 ;0,050048387;10;8396;0,183959677;0,114153226;0,12451129;45;237;85;17;58;0,72;0,13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2,8%;7,7%;5,4%;5,1%; 62 
1/09/23; 355.674.074 ; 4.723.287.979 ; 4.243.214.376 ; 9.322.176.429 ;0,049945161;2;6771;0,184429032;0,114009677;0,124683871;81;233;79;16;48;0,65;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7,5%;14,7%;10,8%;10,1%; 58 
2/09/23; 266.755.556 ; 3.542.465.984 ; 3.182.410.782 ; 6.991.632.322 ;0,049841935;9;6569;0,184898387;0,113866129;0,124856452;40;233;79;16;25;0,57;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7,0%;14,3%;10,6%;10,4%; 81 
